"customer_zip_code_prefix","total_revenue"
25907,"17.64"
4290,"18.52"
5673,"19.33"
4231,"20.19"
4553,"20.28"
86720,"20.42"
95853,"20.70"
2539,"20.76"
72885,"21.40"
1513,"21.85"
1208,"22.39"
72720,"22.55"
39645,"22.58"
44023,"22.79"
4236,"23.29"
87760,"24.09"
28155,"24.11"
35880,"24.23"
3259,"24.29"
40253,"24.69"
13286,"24.77"
5315,"24.79"
46180,"24.88"
76245,"25.10"
24910,"25.13"
38819,"25.51"
70353,"25.65"
9606,"25.78"
87860,"25.85"
33040,"26.05"
37860,"26.09"
9614,"26.15"
7076,"26.39"
9684,"26.58"
4460,"26.77"
83800,"26.77"
4921,"26.77"
2841,"26.88"
92323,"27.00"
3289,"27.00"
26260,"27.09"
8321,"27.13"
4611,"27.19"
5635,"27.30"
85933,"27.38"
9372,"27.38"
7867,"27.68"
9311,"27.68"
14760,"27.69"
74953,"27.75"
34545,"27.86"
18140,"28.08"
2538,"28.17"
4291,"28.20"
4643,"28.20"
2853,"28.20"
26170,"28.22"
2175,"28.41"
31845,"28.43"
85195,"28.52"
7430,"28.62"
75532,"28.75"
79831,"28.75"
79905,"28.75"
5104,"28.76"
39812,"28.80"
75516,"29.00"
78717,"29.04"
27333,"29.09"
89206,"29.09"
37542,"29.13"
70043,"29.22"
2232,"29.41"
87701,"29.42"
79075,"29.49"
3603,"29.51"
54705,"29.84"
96990,"30.00"
2710,"30.00"
31960,"30.13"
1431,"30.19"
43810,"30.19"
5177,"30.38"
47730,"30.44"
35478,"30.47"
75900,"30.70"
5614,"30.78"
3383,"30.79"
6360,"30.96"
84607,"30.97"
74354,"31.00"
37407,"31.10"
29795,"31.13"
1542,"31.18"
99690,"31.22"
98450,"31.22"
62884,"31.28"
5034,"31.38"
86330,"31.38"
1019,"31.38"
