"order_week","order_count"
"2017-11-20 00:00:00","2915"
"2017-11-27 00:00:00","2047"
"2018-07-30 00:00:00","2002"
"2018-05-07 00:00:00","1943"
"2018-08-06 00:00:00","1931"
"2018-02-26 00:00:00","1849"
"2018-08-13 00:00:00","1839"
"2018-05-14 00:00:00","1805"
"2018-01-08 00:00:00","1738"
"2018-04-30 00:00:00","1734"
"2018-02-19 00:00:00","1713"
"2018-01-15 00:00:00","1704"
"2018-03-19 00:00:00","1671"
"2018-07-16 00:00:00","1649"
"2018-04-23 00:00:00","1648"
"2018-04-16 00:00:00","1637"
"2017-12-04 00:00:00","1631"
"2018-07-23 00:00:00","1610"
"2018-03-05 00:00:00","1598"
"2018-02-12 00:00:00","1595"
"2018-01-29 00:00:00","1561"
"2018-04-02 00:00:00","1555"
"2018-01-22 00:00:00","1545"
"2018-03-12 00:00:00","1541"
"2018-02-05 00:00:00","1541"
"2018-04-09 00:00:00","1522"
"2018-06-11 00:00:00","1497"
"2018-06-18 00:00:00","1443"
"2018-03-26 00:00:00","1431"
"2018-06-04 00:00:00","1422"
"2018-06-25 00:00:00","1382"
"2017-12-11 00:00:00","1367"
"2018-01-01 00:00:00","1341"
"2017-11-13 00:00:00","1259"
"2018-07-02 00:00:00","1178"
"2017-11-06 00:00:00","1168"
"2017-09-11 00:00:00","1136"
"2017-10-16 00:00:00","1105"
"2018-05-28 00:00:00","1075"
"2018-08-20 00:00:00","1054"
"2017-10-09 00:00:00","1030"
"2017-08-14 00:00:00","1008"
"2017-08-28 00:00:00","979"
"2017-10-02 00:00:00","975"
"2018-07-09 00:00:00","972"
"2017-09-18 00:00:00","956"
"2017-07-31 00:00:00","954"
"2017-12-18 00:00:00","952"
"2017-10-23 00:00:00","950"
"2018-05-21 00:00:00","941"
"2017-07-17 00:00:00","937"
"2017-07-10 00:00:00","926"
"2017-09-25 00:00:00","925"
"2017-05-15 00:00:00","916"
"2017-08-07 00:00:00","911"
"2017-10-30 00:00:00","900"
"2017-07-24 00:00:00","893"
"2017-09-04 00:00:00","879"
"2017-08-21 00:00:00","862"
"2017-12-25 00:00:00","857"
"2017-06-05 00:00:00","814"
"2017-05-29 00:00:00","800"
"2017-07-03 00:00:00","794"
"2017-05-22 00:00:00","760"
"2017-05-08 00:00:00","753"
"2017-05-01 00:00:00","750"
"2017-06-12 00:00:00","726"
"2017-06-26 00:00:00","706"
"2017-04-24 00:00:00","644"
"2017-06-19 00:00:00","635"
"2017-03-20 00:00:00","624"
"2017-03-13 00:00:00","591"
"2017-04-03 00:00:00","563"
"2017-03-06 00:00:00","548"
"2017-03-27 00:00:00","546"
"2017-04-17 00:00:00","545"
"2017-02-06 00:00:00","511"
"2017-02-27 00:00:00","461"
"2017-01-30 00:00:00","432"
"2017-04-10 00:00:00","421"
"2017-02-13 00:00:00","379"
"2017-02-20 00:00:00","349"
"2017-01-23 00:00:00","332"
"2016-10-03 00:00:00","231"
"2017-01-16 00:00:00","189"
"2018-08-27 00:00:00","116"
"2017-01-09 00:00:00","73"
"2017-01-02 00:00:00","44"
"2016-10-10 00:00:00","34"
"2016-12-19 00:00:00","1"
"2016-09-12 00:00:00","1"
