Order Reference,Order Date & Time,Item Description,Quantity Ordered,Gross Amount
DLV-5073,"May 15, 2026, 11:40 AM",Sweet Potato Fries,2,8.0
DLV-5340,"Apr 24, 2026, 02:02 PM",Vegan Burger,1,9.0
DLV-8548,"May 17, 2026, 08:20 PM",Soft Drink,2,5.0
DLV-6377,"Apr 26, 2026, 05:01 PM",Sweet Potato Fries,1,4.0
DLV-6586,"Apr 24, 2026, 06:35 PM",Chocolate Milkshake,2,9.0
DLV-5713,"Apr 25, 2026, 11:16 PM",Regular Fries,2,6.0
DLV-6807,"May 15, 2026, 06:12 PM",Vegan Burger,2,18.0
DLV-7163,"May 10, 2026, 08:45 PM",Cheeseburger,2,19.0
DLV-8713,"May 19, 2026, 03:53 PM",Vegan Burger,2,18.0
DLV-5947,"Apr 30, 2026, 01:40 PM",Soft Drink,2,5.0
DLV-8158,"May 20, 2026, 06:31 PM",Gourmet Burger,1,8.5
DLV-5239,"Apr 26, 2026, 11:06 PM",Chocolate Milkshake,1,4.5
DLV-7486,"May 13, 2026, 05:03 PM",Regular Fries,2,6.0
DLV-6039,"May 15, 2026, 08:43 PM",Soft Drink,1,2.5
DLV-5493,"May 04, 2026, 09:59 PM",Gourmet Burger,2,17.0
DLV-6958,"Apr 24, 2026, 12:14 PM",Regular Fries,2,6.0
DLV-7445,"May 09, 2026, 11:22 AM",Chocolate Milkshake,1,4.5
DLV-8135,"May 10, 2026, 07:54 PM",Chocolate Milkshake,2,9.0
DLV-6685,"May 22, 2026, 03:53 PM",Chocolate Milkshake,1,4.5
DLV-6345,"May 05, 2026, 11:26 AM",Regular Fries,1,3.0
DLV-7172,"May 01, 2026, 11:04 PM",Sweet Potato Fries,2,8.0
DLV-5571,"May 04, 2026, 06:34 PM",Cheeseburger,1,9.5
DLV-6600,"May 03, 2026, 11:17 AM",Gourmet Burger,2,17.0
DLV-7508,"May 15, 2026, 11:28 PM",Vegan Burger,1,9.0
DLV-8437,"May 08, 2026, 04:52 PM",Sweet Potato Fries,2,8.0
DLV-8376,"May 04, 2026, 02:11 PM",Vegan Burger,2,18.0
DLV-6375,"May 10, 2026, 02:31 PM",Soft Drink,2,5.0
DLV-7970,"May 17, 2026, 01:53 PM",Soft Drink,2,5.0
DLV-7865,"May 13, 2026, 11:54 PM",Cheeseburger,2,19.0
DLV-8739,"May 03, 2026, 11:41 PM",Cheeseburger,1,9.5
DLV-6427,"May 15, 2026, 11:23 PM",Soft Drink,1,2.5
DLV-7828,"May 22, 2026, 01:33 PM",Soft Drink,2,5.0
DLV-8754,"May 13, 2026, 03:19 PM",Sweet Potato Fries,1,4.0
DLV-5651,"May 16, 2026, 06:51 PM",Sweet Potato Fries,2,8.0
DLV-6306,"May 19, 2026, 02:03 PM",Cheeseburger,1,9.5
DLV-7792,"Apr 29, 2026, 11:43 AM",Regular Fries,2,6.0
DLV-6513,"May 17, 2026, 09:25 PM",Regular Fries,2,6.0
DLV-8030,"Apr 28, 2026, 08:17 PM",Cheeseburger,1,9.5
DLV-7153,"Apr 29, 2026, 10:30 PM",Cheeseburger,2,19.0
DLV-7468,"May 10, 2026, 01:54 PM",Regular Fries,1,3.0
DLV-6145,"May 13, 2026, 03:12 PM",Chocolate Milkshake,1,4.5
DLV-5019,"May 20, 2026, 02:52 PM",Chocolate Milkshake,1,4.5
DLV-5316,"May 10, 2026, 03:29 PM",Regular Fries,1,3.0
DLV-6349,"Apr 24, 2026, 11:34 PM",Cheeseburger,1,9.5
DLV-5951,"May 13, 2026, 11:10 PM",Cheeseburger,1,9.5
DLV-8119,"May 06, 2026, 11:43 PM",Chocolate Milkshake,1,4.5
DLV-6398,"May 13, 2026, 06:49 PM",Soft Drink,2,5.0
DLV-6332,"May 05, 2026, 06:21 PM",Soft Drink,1,2.5
DLV-8844,"May 21, 2026, 02:35 PM",Regular Fries,1,3.0
DLV-5667,"May 20, 2026, 10:10 PM",Cheeseburger,2,19.0
DLV-7227,"May 14, 2026, 05:29 PM",Gourmet Burger,2,17.0
DLV-8408,"May 01, 2026, 05:58 PM",Sweet Potato Fries,2,8.0
DLV-5705,"Apr 23, 2026, 03:48 PM",Soft Drink,2,5.0
DLV-7397,"May 13, 2026, 04:55 PM",Soft Drink,1,2.5
DLV-6903,"May 16, 2026, 11:06 AM",Regular Fries,2,6.0
DLV-7914,"Apr 30, 2026, 01:41 PM",Regular Fries,2,6.0
DLV-7289,"May 04, 2026, 09:00 PM",Vegan Burger,1,9.0
DLV-8125,"Apr 23, 2026, 05:12 PM",Vegan Burger,1,9.0
DLV-8638,"May 01, 2026, 12:18 PM",Regular Fries,2,6.0
DLV-7834,"Apr 26, 2026, 02:45 PM",Regular Fries,1,3.0
DLV-7069,"May 06, 2026, 11:41 AM",Cheeseburger,2,19.0
DLV-7930,"May 22, 2026, 05:23 PM",Vegan Burger,2,18.0
DLV-8638,"May 08, 2026, 11:18 PM",Chocolate Milkshake,2,9.0
DLV-7485,"May 06, 2026, 09:02 PM",Regular Fries,2,6.0
DLV-7125,"May 18, 2026, 06:05 PM",Cheeseburger,2,19.0
DLV-6676,"May 20, 2026, 06:38 PM",Cheeseburger,2,19.0
DLV-8896,"May 07, 2026, 02:15 PM",Sweet Potato Fries,2,8.0
DLV-8895,"May 03, 2026, 08:56 PM",Vegan Burger,1,9.0
DLV-8815,"May 22, 2026, 05:46 PM",Gourmet Burger,1,8.5
DLV-6155,"May 19, 2026, 01:46 PM",Soft Drink,2,5.0
DLV-5698,"May 16, 2026, 11:36 PM",Regular Fries,2,6.0
DLV-5309,"May 03, 2026, 02:41 PM",Regular Fries,2,6.0
DLV-8744,"May 19, 2026, 01:30 PM",Chocolate Milkshake,1,4.5
DLV-5701,"May 12, 2026, 09:44 PM",Soft Drink,2,5.0
DLV-8875,"May 08, 2026, 10:20 PM",Regular Fries,1,3.0
DLV-5559,"Apr 22, 2026, 05:26 PM",Gourmet Burger,2,17.0
DLV-6149,"May 14, 2026, 12:41 PM",Regular Fries,1,3.0
DLV-7837,"May 02, 2026, 07:46 PM",Gourmet Burger,2,17.0
DLV-6938,"Apr 24, 2026, 02:20 PM",Vegan Burger,1,9.0
DLV-6425,"May 16, 2026, 05:50 PM",Soft Drink,2,5.0
DLV-7413,"May 21, 2026, 07:02 PM",Soft Drink,1,2.5
DLV-8474,"May 12, 2026, 10:41 PM",Chocolate Milkshake,1,4.5
DLV-8864,"May 14, 2026, 05:19 PM",Cheeseburger,1,9.5
DLV-6435,"Apr 22, 2026, 05:46 PM",Chocolate Milkshake,2,9.0
DLV-8596,"Apr 30, 2026, 12:56 PM",Cheeseburger,1,9.5
DLV-8735,"May 13, 2026, 02:02 PM",Cheeseburger,1,9.5
DLV-5946,"May 11, 2026, 11:40 AM",Vegan Burger,2,18.0
DLV-5399,"Apr 22, 2026, 04:37 PM",Regular Fries,2,6.0
DLV-8117,"May 08, 2026, 03:07 PM",Soft Drink,2,5.0
DLV-6334,"Apr 22, 2026, 05:24 PM",Sweet Potato Fries,1,4.0
DLV-6060,"Apr 24, 2026, 11:27 AM",Cheeseburger,2,19.0
