Order_ID,Timestamp,Item_Name,Quantity,Price_Paid,Source,Estimated_Profit
DLV-5073,2026-05-15 11:40:00,sweet potato fries,2,8.0,Deliveroo,6.0
DLV-5340,2026-04-24 14:02:00,vegan burger,1,9.0,Deliveroo,6.75
DLV-8548,2026-05-17 20:20:00,soft drink,2,5.0,Deliveroo,3.75
DLV-6377,2026-04-26 17:01:00,sweet potato fries,1,4.0,Deliveroo,3.0
DLV-6586,2026-04-24 18:35:00,chocolate milkshake,2,9.0,Deliveroo,6.75
DLV-5713,2026-04-25 23:16:00,regular fries,2,6.0,Deliveroo,4.5
DLV-6807,2026-05-15 18:12:00,vegan burger,2,18.0,Deliveroo,13.5
DLV-7163,2026-05-10 20:45:00,cheeseburger,2,19.0,Deliveroo,14.25
DLV-8713,2026-05-19 15:53:00,vegan burger,2,18.0,Deliveroo,13.5
DLV-5947,2026-04-30 13:40:00,soft drink,2,5.0,Deliveroo,3.75
DLV-8158,2026-05-20 18:31:00,gourmet burger,1,8.5,Deliveroo,6.375
DLV-5239,2026-04-26 23:06:00,chocolate milkshake,1,4.5,Deliveroo,3.375
DLV-7486,2026-05-13 17:03:00,regular fries,2,6.0,Deliveroo,4.5
DLV-6039,2026-05-15 20:43:00,soft drink,1,2.5,Deliveroo,1.875
DLV-5493,2026-05-04 21:59:00,gourmet burger,2,17.0,Deliveroo,12.75
DLV-6958,2026-04-24 12:14:00,regular fries,2,6.0,Deliveroo,4.5
DLV-7445,2026-05-09 11:22:00,chocolate milkshake,1,4.5,Deliveroo,3.375
DLV-8135,2026-05-10 19:54:00,chocolate milkshake,2,9.0,Deliveroo,6.75
DLV-6685,2026-05-22 15:53:00,chocolate milkshake,1,4.5,Deliveroo,3.375
DLV-6345,2026-05-05 11:26:00,regular fries,1,3.0,Deliveroo,2.25
DLV-7172,2026-05-01 23:04:00,sweet potato fries,2,8.0,Deliveroo,6.0
DLV-5571,2026-05-04 18:34:00,cheeseburger,1,9.5,Deliveroo,7.125
DLV-6600,2026-05-03 11:17:00,gourmet burger,2,17.0,Deliveroo,12.75
DLV-7508,2026-05-15 23:28:00,vegan burger,1,9.0,Deliveroo,6.75
DLV-8437,2026-05-08 16:52:00,sweet potato fries,2,8.0,Deliveroo,6.0
DLV-8376,2026-05-04 14:11:00,vegan burger,2,18.0,Deliveroo,13.5
DLV-6375,2026-05-10 14:31:00,soft drink,2,5.0,Deliveroo,3.75
DLV-7970,2026-05-17 13:53:00,soft drink,2,5.0,Deliveroo,3.75
DLV-7865,2026-05-13 23:54:00,cheeseburger,2,19.0,Deliveroo,14.25
DLV-8739,2026-05-03 23:41:00,cheeseburger,1,9.5,Deliveroo,7.125
DLV-6427,2026-05-15 23:23:00,soft drink,1,2.5,Deliveroo,1.875
DLV-7828,2026-05-22 13:33:00,soft drink,2,5.0,Deliveroo,3.75
DLV-8754,2026-05-13 15:19:00,sweet potato fries,1,4.0,Deliveroo,3.0
DLV-5651,2026-05-16 18:51:00,sweet potato fries,2,8.0,Deliveroo,6.0
DLV-6306,2026-05-19 14:03:00,cheeseburger,1,9.5,Deliveroo,7.125
DLV-7792,2026-04-29 11:43:00,regular fries,2,6.0,Deliveroo,4.5
DLV-6513,2026-05-17 21:25:00,regular fries,2,6.0,Deliveroo,4.5
DLV-8030,2026-04-28 20:17:00,cheeseburger,1,9.5,Deliveroo,7.125
DLV-7153,2026-04-29 22:30:00,cheeseburger,2,19.0,Deliveroo,14.25
DLV-7468,2026-05-10 13:54:00,regular fries,1,3.0,Deliveroo,2.25
DLV-6145,2026-05-13 15:12:00,chocolate milkshake,1,4.5,Deliveroo,3.375
DLV-5019,2026-05-20 14:52:00,chocolate milkshake,1,4.5,Deliveroo,3.375
