Order_ID,Timestamp,Item_Name,Quantity,Price_Paid
TXN-1001,2026-05-14 11:35:26,Regular Fries,3,9.0
TXN-1002,2026-04-24 23:20:45,Gourmet Burger,1,8.5
TXN-1003,2026-04-29 16:09:51,Regular Fries,1,3.0
TXN-1004,2026-05-20 22:42:37,Chocolate Milkshake,3,13.5
TXN-1005,2026-05-12 12:32:25,Sweet Potato Fries,3,12.0
TXN-1006,2026-05-06 20:31:29,Regular Fries,1,3.0
TXN-1007,2026-05-20 13:25:58,Gourmet Burger,1,8.5
TXN-1008,2026-05-14 20:32:49,Cheeseburger,3,28.5
TXN-1009,2026-05-22 23:59:33,Chocolate Milkshake,2,9.0
TXN-1010,2026-05-07 15:17:05,Soft Drink,3,7.5
TXN-1011,2026-05-07 18:39:35,Vegan Burger,2,18.0
TXN-1012,2026-05-01 21:32:12,Sweet Potato Fries,1,4.0
TXN-1013,2026-05-20 17:58:17,Cheeseburger,3,28.5
TXN-1014,2026-05-06 21:20:28,Chocolate Milkshake,3,13.5
TXN-1015,2026-04-28 23:32:45,Gourmet Burger,3,25.5
TXN-1016,2026-05-09 17:46:29,Regular Fries,3,9.0
TXN-1017,2026-04-26 20:16:00,Sweet Potato Fries,1,4.0
TXN-1018,2026-05-09 12:16:12,Chocolate Milkshake,3,13.5
TXN-1019,2026-04-22 12:54:55,Soft Drink,2,5.0
TXN-1020,2026-05-20 21:59:52,Gourmet Burger,1,8.5
TXN-1021,2026-04-22 12:24:57,Chocolate Milkshake,3,13.5
TXN-1022,2026-04-22 14:14:29,Chocolate Milkshake,3,13.5
TXN-1023,2026-05-16 13:40:20,Soft Drink,1,2.5
TXN-1024,2026-05-15 22:56:00,Soft Drink,2,5.0
TXN-1025,2026-04-23 22:36:15,Vegan Burger,1,9.0
TXN-1026,2026-05-02 14:10:39,Vegan Burger,3,27.0
TXN-1027,2026-05-15 22:40:15,Sweet Potato Fries,3,12.0
TXN-1028,2026-04-27 11:53:05,Chocolate Milkshake,1,4.5
