order_ref,date_time,product_title,qty,subtotal
UBR-503718,02/05/2026 23:02,soft drink,2,5.0
UBR-662335,07/05/2026 16:51,chocolate milkshake,1,4.5
UBR-494939,28/04/2026 16:21,soft drink,1,2.5
UBR-326714,20/05/2026 22:42,cheeseburger,2,19.0
UBR-413159,25/04/2026 17:47,sweet potato fries,1,4.0
UBR-441740,12/05/2026 13:33,soft drink,2,5.0
UBR-879085,05/05/2026 15:02,soft drink,2,5.0
UBR-112170,19/05/2026 21:36,gourmet burger,1,8.5
UBR-571696,14/05/2026 14:07,gourmet burger,1,8.5
UBR-543808,01/05/2026 18:31,gourmet burger,1,8.5
UBR-359227,10/05/2026 19:27,vegan burger,2,18.0
UBR-907533,22/05/2026 19:06,sweet potato fries,2,8.0
UBR-388561,07/05/2026 21:48,regular fries,1,3.0
UBR-689400,27/04/2026 19:37,gourmet burger,2,17.0
UBR-916680,22/04/2026 18:57,sweet potato fries,1,4.0
UBR-777835,13/05/2026 20:06,soft drink,1,2.5
UBR-967126,04/05/2026 14:22,gourmet burger,2,17.0
UBR-361932,02/05/2026 21:48,chocolate milkshake,2,9.0
UBR-553159,22/04/2026 13:26,chocolate milkshake,2,9.0
UBR-148756,01/05/2026 23:52,soft drink,1,2.5
UBR-866522,12/05/2026 14:57,cheeseburger,2,19.0
UBR-489062,02/05/2026 17:26,cheeseburger,1,9.5
UBR-651883,16/05/2026 22:18,vegan burger,2,18.0
UBR-397801,26/04/2026 19:30,vegan burger,1,9.0
UBR-532158,22/05/2026 18:16,sweet potato fries,2,8.0
UBR-738193,26/04/2026 18:16,sweet potato fries,2,8.0
UBR-104090,21/05/2026 13:30,gourmet burger,1,8.5
UBR-496972,29/04/2026 21:47,gourmet burger,2,17.0
UBR-895014,24/04/2026 15:45,chocolate milkshake,1,4.5
UBR-426534,18/05/2026 22:13,regular fries,1,3.0
UBR-502480,09/05/2026 15:02,sweet potato fries,2,8.0
UBR-634567,21/05/2026 13:33,cheeseburger,2,19.0
UBR-674114,02/05/2026 22:09,soft drink,2,5.0
UBR-209941,13/05/2026 17:43,vegan burger,1,9.0
UBR-349898,16/05/2026 11:14,regular fries,1,3.0
UBR-728127,01/05/2026 12:51,chocolate milkshake,2,9.0
UBR-395753,17/05/2026 14:22,sweet potato fries,1,4.0
UBR-913978,15/05/2026 23:11,cheeseburger,1,9.5
UBR-267818,21/05/2026 14:08,chocolate milkshake,1,4.5
UBR-273962,12/05/2026 12:04,gourmet burger,1,8.5
UBR-644953,02/05/2026 19:44,gourmet burger,2,17.0
UBR-832051,17/05/2026 20:25,regular fries,1,3.0
UBR-362500,25/04/2026 14:20,sweet potato fries,1,4.0
UBR-612230,21/05/2026 13:53,gourmet burger,1,8.5
UBR-932300,28/04/2026 18:32,chocolate milkshake,1,4.5
UBR-496056,24/04/2026 11:20,gourmet burger,2,17.0
UBR-975264,10/05/2026 14:06,regular fries,2,6.0
UBR-581156,17/05/2026 17:18,gourmet burger,2,17.0
UBR-541768,21/05/2026 22:14,vegan burger,2,18.0
UBR-764121,21/05/2026 17:04,soft drink,1,2.5
UBR-414788,16/05/2026 18:44,soft drink,2,5.0
UBR-603535,29/04/2026 15:03,soft drink,2,5.0
UBR-291063,26/04/2026 15:13,soft drink,1,2.5
UBR-333834,22/04/2026 14:06,vegan burger,1,9.0
UBR-270040,07/05/2026 13:59,sweet potato fries,1,4.0
UBR-675471,01/05/2026 17:47,sweet potato fries,2,8.0
UBR-870967,04/05/2026 16:30,chocolate milkshake,2,9.0
UBR-753767,18/05/2026 22:12,cheeseburger,2,19.0
UBR-427727,02/05/2026 23:20,regular fries,2,6.0
UBR-381132,23/04/2026 17:10,cheeseburger,2,19.0
UBR-544534,25/04/2026 14:46,vegan burger,2,18.0
UBR-733062,03/05/2026 22:16,soft drink,1,2.5
UBR-301889,24/04/2026 15:36,cheeseburger,2,19.0
UBR-922266,24/04/2026 23:56,gourmet burger,2,17.0
UBR-838075,14/05/2026 13:53,gourmet burger,2,17.0
UBR-943936,06/05/2026 23:54,gourmet burger,1,8.5
UBR-177153,14/05/2026 14:23,regular fries,2,6.0
UBR-894435,25/04/2026 23:39,regular fries,1,3.0
UBR-253349,04/05/2026 15:07,chocolate milkshake,1,4.5
UBR-394826,09/05/2026 16:54,vegan burger,2,18.0
UBR-353035,12/05/2026 18:48,sweet potato fries,1,4.0
